Store_Number,Network_Segment,Webpos_Env,EFT,Location,RF_Server,Cashtill_Seg_GW
3347,3347,pr,AMBANK,MY,10.14.56.36,10.14.53.65
3319,3319,pr,ICBC,CN,10.69.127.52,10.69.62.129
3373,3373,pr,ICBC,CN,10.69.127.36,10.69.62.97
3388,3388,pr,ICBC,CN,10.69.127.20,10.69.62.65
3007,3007,pr,BCA,ID,10.13.10.228,10.13.12.225
3344,3344,pr,ICBC,CN,10.69.126.244,10.69.62.1
3329,3329,pr,ICBC,CN,10.69.127.4,10.69.62.33
3306,3306,pr,AMBANK,MY,10.14.57.196,10.14.52.17
3357,3357,pr,DEPARTMENT STORE,KR,10.15.55.36,10.15.59.33
3395,3395,pr,BDO,PH,10.29.8.252,10.29.24.233
3456,3456,pr,ICBC,CN,10.69.126.212,10.69.61.193
3433,3433,pr,NETS,SG,10.17.53.68,10.17.57.97
3389,3389,pr,AMBANK,MY,10.14.57.164,10.14.53.145
3391,3391,pr,BCA,ID,10.13.10.244,10.13.12.241
3352,3352,pr,Adyen + Octopus,HK,10.1.26.212,10.1.28.209
3459,3459,pr,NETS,SG,10.17.53.84,10.17.57.113
3397,3397,pr,BDO,PH,10.29.24.4,10.29.25.1
3450,3450,pr,ICBC,CN,10.69.126.228,10.69.61.225
3363,3363,pr,ICBC,CN,10.69.126.196,10.69.61.161
3392,3392,pr,BCA,ID,10.13.11.4,10.13.13.1
3473,3473,pr,ICBC,CN,10.69.126.180,10.69.61.129
3499,3499,pr,ICBC,CN,10.69.126.164,10.69.61.97
3280,3280,pr,DEPARTMENT STORE,KR,10.15.52.228,10.15.57.193
3326,3326,pr,KBANK,TH,10.10.40.116,10.10.53.65
3418,3418,pr,AMBANK,MY,10.14.58.4,10.14.53.193
3506,3506,pr,AMBANK,MY,10.14.58.52,10.14.53.225
3507,3507,pr,AMBANK,MY,10.14.58.68,10.14.53.241
3500,3500,pr,ICBC,CN,10.69.126.148,10.69.61.65
3501,3501,pr,ICBC,CN,10.69.126.132,10.69.61.33
3517,3517,pr,AMBANK,MY,10.14.58.84,10.14.54.1
3355,3355,pr,X,KR,10.15.53.52,10.15.58.97
3426,3426,pr,ICBC,CN,10.69.127.148,10.69.63.33
3452,3452,pr,Adyen + Octopus,HK,10.1.26.228,10.1.28.225
3502,10.68.121.128/26,PR,ICBC,CN,10.69.126.84,10.69.60.193
3477,10.68.121.64/26,PR,ICBC,CN,10.69.126.68,10.69.60.161
3476,10.68.121.0/26,PR,ICBC,CN,10.69.126.52,10.69.60.129
3354,3354,pr,x,KR,10.15.53.68,10.15.58.129
3531,3531,pr,AMBANK,MY,10.14.56.4,10.14.52.81
3527,3527,pr,ICBC,CN,10.69.126.20,10.69.60.65
3528,3528,pr,ICBC,CN,10.69.126.36,10.69.60.97
3356,3356,pr,X,KR,10.15.52.212,10.15.57.161
3438,3438,pr,X,KR,10.15.52.196,10.15.57.129
3393,3393,pr,BCA,ID,10.13.11.20,10.13.13.17
3448,10.68.121.192/26,PR,ICBC,CN,10.69.126.100,10.69.60.225
3530,3530,pr,AMBANK,MY,10.14.56.100,10.14.53.161
3532,3532,pr,AMBANK,MY,10.14.57.84,10.14.53.177
3508,3508,pu,OSB,PF,10.170.155.20,10.170.154.145
3625,0.0.0.0,pr,ICBC,JP,,
3589,10.68.127.128/26,PR,ICBC,CN,10.69.127.228,10.69.63.193
3396,3396,pr,EFT,PH,10.29.20.244,10.29.25.17
3621,10.68.120.64/26,PR,ICBC,CN,10.69.126.4,10.69.60.33
3579,3579,pr,AMBANK,MY,10.14.57.180,10.14.53.209
2871,2871,pu,CSB,NC,10.170.107.164,10.170.106.33
3513,3513,pr,X,KR,10.15.52.180,10.15.57.97
3394,3394,pr,BCA,ID,10.13.11.52,10.13.13.49
3398,3398,pr,BDO,PH,10.29.25.4,10.29.25.9
3561,3561,pr,X,KR,10.15.52.164,10.15.57.65
3489,3489,pr,BCA,ID,10.13.11.68,10.13.13.65
3601,3601,pr,KBANK,TH,10.10.57.196,10.10.52.57
3633,10.68.120.0/26,PR,ICBC,CN,10.69.125.244,10.69.60.1
3636,10.68.119.192/26,PR,ICBC,CN,10.69.125.228,10.69.59.225
3587,3587,pr,AMBANK,MY,10.14.58.100,10.14.54.49
3680,3680,pr,NETS,SG,10.17.53.100,10.17.57.129
3399,3399,pr,BDO,PH,10.29.21.4,10.29.25.33
3671,3671,pr,AMBANK,MY,10.14.58.132,10.14.54.81
3659,10.68.119.128/26,PR,ICBC,CN,10.69.125.212,10.69.59.193
3588,3588,pr,AMBANK,MY,10.14.58.116,10.14.54.33
3670,10.68.119.64/26,PR,ICBC,CN,10.69.125.196,10.69.59.161
3698,3698,pr,AMBANK,MY,10.14.58.148,10.14.54.97
3697,3697,pr,AMBANK,MY,10.14.58.164,10.14.54.113
3656,10.68.119.0/26,PR,ICBC,CN,10.69.125.180,10.69.59.129
3658,10.68.118.192/26,PR,ICBC,CN,10.69.125.164,10.69.59.97
3490,3490,pr,BCA,ID,10.13.11.84,10.13.13.81
